node_id_start,node_id_end,rel_type,link,status,start_date,end_date,sourceID
11002661,10160847,intermediary_of,intermediary of,,,,Panama Papers
11002661,10161606,intermediary_of,intermediary of,,,,Panama Papers
11002661,10160725,intermediary_of,intermediary of,,,,Panama Papers
11002661,10107379,intermediary_of,intermediary of,,,,Panama Papers
11002661,10055748,intermediary_of,intermediary of,,,,Panama Papers
11002662,10212127,intermediary_of,intermediary of,,,,Panama Papers
11002662,10000585,intermediary_of,intermediary of,,,,Panama Papers
11002662,10032586,intermediary_of,intermediary of,,,,Panama Papers
11002662,10032719,intermediary_of,intermediary of,,,,Panama Papers
11002662,10041016,intermediary_of,intermediary of,,,,Panama Papers
11002662,10047779,intermediary_of,intermediary of,,,,Panama Papers
11002662,10044804,intermediary_of,intermediary of,,,,Panama Papers
11002662,10046094,intermediary_of,intermediary of,,,,Panama Papers
11002662,10051500,intermediary_of,intermediary of,,,,Panama Papers
11002662,10049989,intermediary_of,intermediary of,,,,Panama Papers
11002662,10053744,intermediary_of,intermediary of,,,,Panama Papers
11002662,10051735,intermediary_of,intermediary of,,,,Panama Papers
11002662,10052603,intermediary_of,intermediary of,,,,Panama Papers
11002662,10054374,intermediary_of,intermediary of,,,,Panama Papers
11002662,10055329,intermediary_of,intermediary of,,,,Panama Papers
11002662,10072074,intermediary_of,intermediary of,,,,Panama Papers
11002662,10127165,intermediary_of,intermediary of,,,,Panama Papers
11002662,10125566,intermediary_of,intermediary of,,,,Panama Papers
11002662,10131380,intermediary_of,intermediary of,,,,Panama Papers
11002662,10139207,intermediary_of,intermediary of,,,,Panama Papers
11002662,10137293,intermediary_of,intermediary of,,,,Panama Papers
11002662,10137296,intermediary_of,intermediary of,,,,Panama Papers
11002662,10143346,intermediary_of,intermediary of,,,,Panama Papers
11002662,10164628,intermediary_of,intermediary of,,,,Panama Papers
11002662,10164664,intermediary_of,intermediary of,,,,Panama Papers
11002662,10162852,intermediary_of,intermediary of,,,,Panama Papers
11002662,10164622,intermediary_of,intermediary of,,,,Panama Papers
11002662,10163529,intermediary_of,intermediary of,,,,Panama Papers
11002662,10162227,intermediary_of,intermediary of,,,,Panama Papers
11002662,10163189,intermediary_of,intermediary of,,,,Panama Papers
11002662,10164091,intermediary_of,intermediary of,,,,Panama Papers
11002662,10168033,intermediary_of,intermediary of,,,,Panama Papers
11002662,10166447,intermediary_of,intermediary of,,,,Panama Papers
11002662,10152465,intermediary_of,intermediary of,,,,Panama Papers
11002662,10159549,intermediary_of,intermediary of,,,,Panama Papers
11002662,10166432,intermediary_of,intermediary of,,,,Panama Papers
11002662,10166574,intermediary_of,intermediary of,,,,Panama Papers
11002662,10150477,intermediary_of,intermediary of,,,,Panama Papers
11002662,10180556,intermediary_of,intermediary of,,,,Panama Papers
11002662,10185419,intermediary_of,intermediary of,,,,Panama Papers
11002662,10196025,intermediary_of,intermediary of,,,,Panama Papers
11002662,10196031,intermediary_of,intermediary of,,,,Panama Papers
11002662,10196018,intermediary_of,intermediary of,,,,Panama Papers
